,url,author
306,http://lib.ru/INPROZ/LI/,Ли Харпер
307,http://lib.ru/INPROZ/LILADAN/,Лиль-Адан Вилье де
308,http://lib.ru/INPROZ/LINT/,Линт Чарльз Де
309,http://lib.ru/INPROZ/LISPEKTTOR_K/,Лиспектор Клариси
310,http://lib.ru/INPROZ/LLOJD_D/,Ллойд Джози; Риз Эмлин
311,http://lib.ru/INPROZ/CHATER/,Лоуренс Дэвид
312,http://lib.ru/INPROZ/LOURENS_T/,Лоуренс Томас
313,http://lib.ru/INPROZ/../LONDON/,Лондон Джек
314,http://lib.ru/INPROZ/LU/,Лу Эрленд
315,http://lib.ru/INPROZ/LUTS_O/,Лутс Оскар
316,http://lib.ru/INPROZ/LUIS/,Льюис Синклер
317,http://lib.ru/INPROZ/LEWIS_W/,Льюис Уиндем
318,http://lib.ru/INPROZ/LIOSA_M/,Льоса Марио
319,http://lib.ru/INPROZ/MAJRINK/,Майринк Густав
320,http://lib.ru/INPROZ/MAKINNESS/,МакИннесс Колин
321,http://lib.ru/INPROZ/MAKKALERS/,Маккалерс Карсон
322,http://lib.ru/INPROZ/MALAMUD/,Маламуд Бернард
323,http://lib.ru/INPROZ/MALERBA/,Малерба Луиджи
324,http://lib.ru/INPROZ/MALO_G/,Мало Гектор
325,http://lib.ru/INPROZ/MANGANELLI/,Манганелли Джорджо
326,http://lib.ru/INPROZ/MANN_G/,Манн Генрих
327,http://lib.ru/INPROZ/MANN/,Манн Томас
328,http://lib.ru/INPROZ/MAREK/,Марек Иржи
329,http://lib.ru/INPROZ/../MARKES/,Маркес Габриэль Гарсия
330,http://lib.ru/INPROZ/MARSHALL/,Маршалл Алан
331,http://lib.ru/INPROZ/MACUMOTO/,Мацумото Сэйте
332,http://lib.ru/INPROZ/MEJLER/,Мейлер Норман
333,http://lib.ru/INPROZ/MELWILL/,Мелвилл Герман
334,http://lib.ru/INPROZ/MELLONI_E/,Меллони Энтони де
335,http://lib.ru/INPROZ/MENKEN/,Менкен Генри Льюис
336,http://lib.ru/INPROZ/MERDOK/,Мердок Айрис
337,http://lib.ru/INPROZ/MERI/,Мери Вейо
338,http://lib.ru/INPROZ/../INOFANT/MERL/,Мерль Роберт
339,http://lib.ru/INPROZ/MESHTERHAZI/,Мештерхази Лайош
340,http://lib.ru/INPROZ/MILLER/,Миллер Генри
341,http://lib.ru/INPROZ/MISIMA/,Мисима Юкио
342,http://lib.ru/INPROZ/MITCHELL_D/,Митчелл Дэвид
343,http://lib.ru/INPROZ/MIURA/,Миура Тэцуо
344,http://lib.ru/INPROZ/MODIANO/,Модиано Патрик
345,http://lib.ru/INPROZ/MURTI/,Мурти Ананта
346,http://lib.ru/INPROZ/MOPASSAN/,Мопассан Ги де
347,http://lib.ru/INPROZ/MORAVIA/,Моравиа Альберто
348,http://lib.ru/INPROZ/MORIAK/,Мориак Франсуа
349,http://lib.ru/INPROZ/../MORUA/,Моруа Андрэ
350,http://lib.ru/INPROZ/MOEM/,Моэм Сомерсет
351,http://lib.ru/INPROZ/MUZIL/,Музиль Роберт
352,http://lib.ru/INPROZ/MUNTE/,Мунте Аксель
353,http://lib.ru/INPROZ/MURAKAMI/,Мураками Харуки
354,http://lib.ru/INPROZ/MEJCHEN/,Мэйчен Артур
355,http://lib.ru/INPROZ/NAJPOL/,Найпол В.С.
356,http://lib.ru/INPROZ/NATER_J/,Натер Йохан
357,http://lib.ru/INPROZ/NENACKI/,Ненацки Збигнев
358,http://lib.ru/INPROZ/NOKS/,Нокс Ким
359,http://lib.ru/INPROZ/NOSSAK/,Носсак Эрих Ганс
360,http://lib.ru/INPROZ/NOTOMB/,Нотомб Амели
361,http://lib.ru/INPROZ/OGENRI/,О.Генри
362,http://lib.ru/INPROZ/OLDINGTON/,Олдингтон Ричард
363,http://lib.ru/INPROZ/OLDRIDZH/,Олдридж Джеймс
364,http://lib.ru/INPROZ/OLDRICH/,Олдрич Томас Белли
365,http://lib.ru/INPROZ/OLSEN/,Ольсен Ларс-Хенрик
366,http://lib.ru/INPROZ/../ORWELL/,Оруэлл Джордж
367,http://lib.ru/INPROZ/ORHAN/,Орхан Памук
368,http://lib.ru/INPROZ/OSTER_P/,Остер Пол
369,http://lib.ru/INPROZ/OUTS/,Оутс Джойс Керол
370,http://lib.ru/INPROZ/OUEN/,Оуэн Томас
371,http://lib.ru/INPROZ/PAASILINNA/,Паасилинна Арто
372,http://lib.ru/INPROZ/PAWICH/,Павич Милорад
373,http://lib.ru/INPROZ/PAZH_M/,Паж Мартен
374,http://lib.ru/INPROZ/PALANUK/,Паланик Чак
375,http://lib.ru/INPROZ/PALMA/,Пальма Клементе
376,http://lib.ru/INPROZ/PANAS/,Панас Генрик
377,http://lib.ru/INPROZ/PAS_O/,Пас Октавио
378,http://lib.ru/INPROZ/PEREK/,Перек Жорж
379,http://lib.ru/INPROZ/PERES_REVERTE/,Перес-Реверте Артуро
