,url_x,book,author_x,author_y,url_y
461,http://lib.ru/POEEAST/ESHIL/prometej.txt,прометейприкованный,эсхил,эсхил,https://briefly.ru/esxil/prometej_prikovannyj/
462,http://lib.ru/POEEAST/ESHIL/eshil1_1.txt,семеропротивфив,эсхил,эсхил,https://briefly.ru/esxil/semero_protiv_fiv/
463,http://lib.ru/RUSSLIT/../PROZA/BABEL/odessa.txt,одесскиерассказы,бабельисаак,исаакэммануиловичбабель,https://briefly.ru/babel/odesskie_rasskazy/
464,http://lib.ru/RUSSLIT/../PROZA/BABEL/konarmia.txt,конармия,бабельисаак,исаакэммануиловичбабель,https://briefly.ru/babel/konarmija/
465,http://lib.ru/PROZA/../SHUKSHIN/do3pet.txt,дотретьихпетухов,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/do_tretih_petuhov/
466,http://lib.ru/PROZA/../SHUKSHIN/kalina_krasnaya.txt,калинакрасная,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/kalina_krasnaja/
467,http://lib.ru/PROZA/../SHUKSHIN/critic.txt,критики,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/kritiki/
468,http://lib.ru/PROZA/../SHUKSHIN/kosmos.txt,космоснервнаясистемаишматсала,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/kosmos_nervnaia_sistema_i_shmat_sala/
469,http://lib.ru/PROZA/../SHUKSHIN/mate.txt,материнскоесердце,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/materinskoe_serdtse/
470,http://lib.ru/PROZA/../SHUKSHIN/ohota_zh.txt,охотажить,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/oxota_zhit/
471,http://lib.ru/PROZA/../SHUKSHIN/srezal.txt,срезал,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/srezal/
472,http://lib.ru/PROZA/../SHUKSHIN/volf.txt,волки,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/volki/
473,http://lib.ru/PROZA/../SHUKSHIN/shukshin_chudik.txt,чудик,шукшинвасилий,василиймакаровичшукшин,https://briefly.ru/shukshin/chudik/
474,http://lib.ru/INPROZ/LAGERKWIST/ulybka.txt,улыбкавечности,лагерквистпер,перлагерквист,https://briefly.ru/lagerkvist/ulybka_vechnosti/
475,http://lib.ru/INPROZ/LAGERKWIST/mariamne.txt,мариамна,лагерквистпер,перлагерквист,https://briefly.ru/lagerkvist/mariamna/
476,http://lib.ru/INPROZ/LAGERKWIST/lagercvistp_miriamna.txt,мариамна,лагерквистпер,перлагерквист,https://briefly.ru/lagerkvist/mariamna/
477,http://lib.ru/RUSSLIT/SERAFIMOWICH/ironflow.txt,железныйпоток,серафимовичалександр,александрсерафимовичсерафимович,https://briefly.ru/serafimovich/zheleznyj_potok/
478,http://lib.ru/PROZA/KATAEW/almazn.txt,алмазныймойвенец,катаеввалентин,валентинпетровичкатаев,https://briefly.ru/kataev/almaznyj_moj_venec/
479,http://lib.ru/PROZA/KATAEW/parus.txt,белеетпарусодинокий,катаеввалентин,валентинпетровичкатаев,https://briefly.ru/kataev/beleet_parus_odinokij/
480,http://lib.ru/PROZA/KATAEW/synpolka.txt,сынполка,катаеввалентин,валентинпетровичкатаев,https://briefly.ru/kataev/syn_polka/
481,http://lib.ru/PROZA/KATAEW/rastratchiki.txt,растратчики,катаеввалентин,валентинпетровичкатаев,https://briefly.ru/kataev/rastratchiki/
482,http://lib.ru/INPROZ/IRWING/ripvanvinkl.txt,рипванвинкль,ирвингвашингтон,вашингтонирвинг,https://briefly.ru/irving/rip_van_vinkl/
483,http://lib.ru/INPROZ/IRWING/irving_hystory.txt,историяньюйорка,ирвингвашингтон,вашингтонирвинг,https://briefly.ru/irving/istorija_nju-jorka/
484,http://lib.ru/INPROZ/BELLOU/gercog.txt,герцог,беллоусол,солбеллоу,https://briefly.ru/bellou/gercog/
485,http://lib.ru/INOFANT/LAWKRAFT/ktulhu.txt,зовктулху,лавкрафтговард,говардфиллипславкрафт,https://briefly.ru/lavkraft/zov_ktulkhu/
486,http://lib.ru/PROZA/../PRISHWIN/kladsoln.txt,кладоваясолнца,пришвинмихаил,михаилмихайловичпришвин,https://briefly.ru/prishvin/kladovaia_solntca/
487,http://lib.ru/PROZA/ERENBURG/ottepel.txt,оттепель,эренбургилья,ильягригорьевичэренбург,https://briefly.ru/erenburg/ottepel/
488,http://lib.ru/INOFANT/HAKSLI/mir.txt,одивныйновыймир,хакслиолдос,олдосхаксли,https://briefly.ru/haksli/o_divnyj_novyj_mir/
489,http://lib.ru/INOFANT/HAKSLI/hucksley1_1.txt,контрапункт,хакслиолдос,олдосхаксли,https://briefly.ru/haksli/kontrapunkt/
490,http://lib.ru/INPROZ/GARDI/tess.txt,тэссизродадэрбервиллей,гардитомас,томасгарди,https://briefly.ru/hardy/tess_iz_roda_derbervillej/
491,http://lib.ru/PROZA/../KOWAL/nedopesok.txt,недопесок,ковальюрий,юрийиосифовичковаль,https://briefly.ru/koval/nedopesok/
492,http://lib.ru/PROZA/FRAERMAN/dingo.txt,дикаясобакадингоилиповестьопервойлюбви,фраерманрувим,рувимисаевичфраерман,https://briefly.ru/fraerman/dikaja_sobaka_dingo_ili_povest_o_pervoj_ljubvi/
493,http://lib.ru/TALES/../NOSOW/nezn3.txt,незнайканалуне,николайносовприключениянезнайки,николайниколаевичносов,https://briefly.ru/nikolainosov/neznajka_na_lune/
494,http://lib.ru/INPROZ/MARSHALL/luzhi.txt,яумеюпрыгатьчерезлужи,маршаллалан,аланмаршалл,https://briefly.ru/marshall/ia_umeiu_prygat_cherez_luzhi/
495,http://lib.ru/PROZA/RASPUTIN/dengi.txt,деньгидлямарии,распутинвалентин,валентингригорьевичраспутин,https://briefly.ru/rasputin/dengi_dlia_marii/
496,http://lib.ru/PROZA/RASPUTIN/matera.txt,прощаниесматерой,распутинвалентин,валентингригорьевичраспутин,https://briefly.ru/rasputin/proshanie_s_materoi/
497,http://lib.ru/PROZA/RASPUTIN/pozhar.txt,пожар,распутинвалентин,валентингригорьевичраспутин,https://briefly.ru/rasputin/pozhar/
498,http://lib.ru/PROZA/RASPUTIN/rasputin_zhivi.txt,живиипомни,распутинвалентин,валентингригорьевичраспутин,https://briefly.ru/rasputin/zhivi_i_pomni/
499,http://lib.ru/PRIKL/../MAJNRID/oceola.txt,оцеолавождьсеминолов,ридмайн,майнрид,https://briefly.ru/rid/oceola_vozhd_seminolov/
500,http://lib.ru/PRIKL/../MAJNRID/white.txt,белыйвождь,ридмайн,майнрид,https://briefly.ru/rid/belyj_vozhd/
501,http://lib.ru/PRIKL/../MAJNRID/kwarteronka.txt,квартеронка,ридмайн,майнрид,https://briefly.ru/rid/kvarteronka_ili_prikljuchenija_na_dalnem_zapade/
502,http://lib.ru/PRIKL/../MAJNRID/partisan.txt,американскиепартизаны,ридмайн,майнрид,https://briefly.ru/rid/amerikanskie_partizany/
503,http://lib.ru/PXESY/WILLIAMS/zverinec.txt,стеклянныйзверинец,теннессивильямс,теннессиуильямс,https://briefly.ru/uiljams/stekljannyj_zverinec/
504,http://lib.ru/PXESY/WILLIAMS/tramwaj.txt,трамвайжелание,теннессивильямс,теннессиуильямс,https://briefly.ru/uiljams/tramvaj_zhelanie/
